"Time","Contracts","Funding Interval","Funding Rate"
"2024-05-16 17:00:00","BTCUSD CM Perpetual","8h","0.008225%"
"2024-05-16 09:00:00","BTCUSD CM Perpetual","8h","0.001829%"
"2024-05-16 01:00:00","BTCUSD CM Perpetual","8h","0.001108%"
"2024-05-15 17:00:00","BTCUSD CM Perpetual","8h","-0.000348%"
"2024-05-15 09:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-15 01:00:00","BTCUSD CM Perpetual","8h","0.007398%"
"2024-05-14 17:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-14 09:00:00","BTCUSD CM Perpetual","8h","-0.003055%"
"2024-05-14 01:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-13 17:00:00","BTCUSD CM Perpetual","8h","0.005959%"
"2024-05-13 09:00:00","BTCUSD CM Perpetual","8h","0.009775%"
"2024-05-13 01:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-12 17:00:00","BTCUSD CM Perpetual","8h","-0.000445%"
"2024-05-12 09:00:00","BTCUSD CM Perpetual","8h","-0.001785%"
"2024-05-12 01:00:00","BTCUSD CM Perpetual","8h","0.008087%"
"2024-05-11 17:00:00","BTCUSD CM Perpetual","8h","0.003194%"
"2024-05-11 09:00:00","BTCUSD CM Perpetual","8h","0.006037%"
"2024-05-11 01:00:00","BTCUSD CM Perpetual","8h","-0.008397%"
"2024-05-10 17:00:00","BTCUSD CM Perpetual","8h","-0.011704%"
"2024-05-10 09:00:00","BTCUSD CM Perpetual","8h","-0.010189%"
"2024-05-10 01:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-09 17:00:00","BTCUSD CM Perpetual","8h","-0.003809%"
"2024-05-09 09:00:00","BTCUSD CM Perpetual","8h","0.006420%"
"2024-05-09 01:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-08 17:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-08 09:00:00","BTCUSD CM Perpetual","8h","0.004445%"
"2024-05-08 01:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-07 17:00:00","BTCUSD CM Perpetual","8h","0.006635%"
"2024-05-07 09:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-07 01:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-06 17:00:00","BTCUSD CM Perpetual","8h","0.007323%"
"2024-05-06 09:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-06 01:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-05 17:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-05 09:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-05 01:00:00","BTCUSD CM Perpetual","8h","0.002061%"
"2024-05-04 17:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-04 09:00:00","BTCUSD CM Perpetual","8h","-0.014458%"
"2024-05-04 01:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-03 17:00:00","BTCUSD CM Perpetual","8h","-0.012472%"
"2024-05-03 09:00:00","BTCUSD CM Perpetual","8h","-0.017999%"
"2024-05-03 01:00:00","BTCUSD CM Perpetual","8h","-0.009919%"
"2024-05-02 17:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-02 09:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-02 01:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-01 17:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-01 09:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-05-01 01:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-30 17:00:00","BTCUSD CM Perpetual","8h","-0.001006%"
"2024-04-30 09:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-30 01:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-29 17:00:00","BTCUSD CM Perpetual","8h","-0.005336%"
"2024-04-29 09:00:00","BTCUSD CM Perpetual","8h","0.007973%"
"2024-04-29 01:00:00","BTCUSD CM Perpetual","8h","0.008788%"
"2024-04-28 17:00:00","BTCUSD CM Perpetual","8h","0.005901%"
"2024-04-28 09:00:00","BTCUSD CM Perpetual","8h","0.006211%"
"2024-04-28 01:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-27 17:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-27 09:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-27 01:00:00","BTCUSD CM Perpetual","8h","0.002535%"
"2024-04-26 17:00:00","BTCUSD CM Perpetual","8h","0.007129%"
"2024-04-26 09:00:00","BTCUSD CM Perpetual","8h","0.008368%"
"2024-04-26 01:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-25 17:00:00","BTCUSD CM Perpetual","8h","0.008154%"
"2024-04-25 09:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-25 01:00:00","BTCUSD CM Perpetual","8h","0.010000%"
"2024-04-24 17:00:00","BTCUSD CM Perpetual","8h","0.010000%"
